"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","user_Companycustomer.xlsx","企业客户-修改用户","0","0","28","0","0"
"","Room_Companycustomer.xlsx","企业会议信息查询","0","0","7","0","0"
"","Developer_Companycustomer.xlsx","删除client","0","0","1","0","0"
"","Room_Companycustomer.xlsx","企业会议授权信息全量查询","0","0","7","0","0"
"","Terminal_Companycustomer.xlsx","终端续费产品生效","0","0","0","12","0"
"","Developer_Companycustomer.xlsx","修改client","0","0","3","0","0"
"","webControl_Interface.xlsx","PrepareSql","0","0","2","1","0"
"","user_Companycustomer.xlsx","企业客户-删除用户","0","0","2","0","0"
"","profile_Trialcustomer.xlsx","个人资料","0","0","2","0","0"
"","zzboss_会议模板权限ice.xlsx","commonService (实时录制)","0","0","7","0","0"
"","zzboss_会议模板权限ice.xlsx","roomService","0","0","17","61","0"
"","Room_Trialcustomer.xlsx","个人客户-查询历史会议室","0","0","2","0","0"
"","zzboss_会议模板权限ice.xlsx","commonService","0","0","11","6","0"
"","profile_Trialcustomer.xlsx","获取验证图片+验证坐标点","0","0","15","0","0"
"","user_Companycustomer.xlsx","企业客户-导入用户","0","0","19","1","0"
"","Room_Trialcustomer.xlsx","会议概要信息","0","0","1","0","0"
"","Room_Companycustomer2_onlineroom未解决入会.xlsx","查询授权未入会用户","0","0","1","0","0"
"","user_Companycustomer.xlsx","企业客户-新增用户","0","0","32","0","0"
"","department_Companycustomer.xlsx","企业客户-新增部门","0","0","6","0","0"
"","Room_Companycustomer.xlsx","会议室待编辑信息","0","0","1","0","0"
"","Room_Companycustomer.xlsx","录制配置修改和获取录制配置","0","0","6","0","0"
"","webControl_Interface.xlsx","修改会议数据","0","0","11","0","0"
"","Room_Companycustomer.xlsx","确认排序","0","0","6","1","0"
"","BeforeLogin_customer.xlsx","登录","0","0","13","0","0"
"","Room_Companycustomer2_onlineroom未解决入会.xlsx","在线会议室","0","0","5","0","0"
"","Room_Companycustomer.xlsx","企业会议授权","0","0","5","1","0"
"","Terminal_Companycustomer.xlsx","修改终端信息","0","0","3","0","0"
"","Room_Companycustomer.xlsx","企业会议增加","0","0","24","0","0"
"","department_Companycustomer.xlsx","PrepareSql","0","0","0","3","0"
"","Room_Trialcustomer.xlsx","个人客户-个人会议室编辑","0","0","1","0","0"
"","profile_Trialcustomer.xlsx","修改昵称","0","0","1","0","0"
"","Room_Companycustomer.xlsx","PrepareSql","0","0","0","3","0"
"","profile_Trialcustomer.xlsx","PrepareSql","0","0","1","2","0"
"","zzboss_会议模板权限ice.xlsx","roomService2","0","0","1","1","0"
"","department_Companycustomer.xlsx","企业客户-修改部门","0","0","7","0","0"
"","BeforeLogin_customer.xlsx","PrepareSql","0","0","2","1","0"
"","webControl_Interface.xlsx","查询会议数据","0","0","3","1","0"
"","profile_Trialcustomer.xlsx","个人客户-修改邮箱","0","0","6","0","0"
"","BeforeLogin_customer.xlsx","忘记密码","0","0","6","0","0"
"","Room_Companycustomer.xlsx","邀请码编辑","0","0","3","0","0"
"","BeforeLogin_customer.xlsx","注销","0","0","2","3","0"
"","profile_Trialcustomer.xlsx","个人客户-修改手机号","0","0","2","0","0"
"","Terminal_Companycustomer.xlsx","下终端订单interface","0","0","2","0","0"
"","user_Companycustomer.xlsx","企业客户-查询用户","0","0","8","0","0"
"","Room_Companycustomer2_onlineroom未解决入会.xlsx","关闭会议","0","0","0","1","0"
"","user_Companycustomer.xlsx","批量修改密码","0","0","5","0","0"
"","Room_Companycustomer.xlsx","企业会议授权取消","0","0","6","0","0"
"","Developer_Companycustomer.xlsx","PrepareSql","0","0","0","3","0"
"","webControl_Interface.xlsx","新增会议数据","0","0","8","2","0"
"","webControl_Interface.xlsx","删除会议数据","0","0","2","1","0"
"","Room_Trialcustomer.xlsx","PrepareSql","0","0","0","3","0"
"","Terminal_Companycustomer.xlsx","终端续费产品列表","0","0","1","0","0"
"","zzboss_会议模板权限ice.xlsx","PrepareSql","0","0","0","3","0"
"","BeforeLogin_customer.xlsx","客户注册","0","0","10","0","0"
"","zzboss_会议模板权限ice.xlsx","单个部门新增","0","0","0","10","0"
"","Developer_Companycustomer.xlsx","新增client","0","0","3","0","0"
"","profile_Trialcustomer.xlsx","获取验证图片","0","0","0","5","0"
"","zzboss_会议模板权限ice.xlsx","Sheet1","0","0","0","1","0"
"","user_Companycustomer.xlsx","PrepareSql","0","0","0","3","0"
"","Room_Companycustomer.xlsx","获取会议模板","0","0","1","0","0"
"","zzboss_会议模板权限ice.xlsx","terminalService","0","0","0","1","0"
"","Room_Companycustomer.xlsx","企业客户-历史会议","0","0","3","0","0"
"","Room_Companycustomer.xlsx","邀请码获取","0","0","2","0","0"
"","department_Companycustomer.xlsx","企业客户-查询客户","0","0","1","0","0"
"","profile_Trialcustomer.xlsx","个人客户-个人资料修改密码","0","0","3","0","0"
"","Room_Companycustomer2_onlineroom未解决入会.xlsx","入会","0","0","0","1","0"
"","Room_Companycustomer.xlsx","会议信息查看","0","0","1","0","0"
"","user_Companycustomer.xlsx","企业客户-产品概要信息","0","0","1","0","0"
"","Room_Companycustomer.xlsx","导入授权","0","0","10","0","0"
"","user_Companycustomer.xlsx","企业客户-查询用户详情","0","0","1","0","0"
"","user_Companycustomer.xlsx","批量导入模板下载","0","0","1","0","0"
"","Room_Companycustomer.xlsx","企业客户-导出会议日志","0","0","1","0","0"
"","Room_Companycustomer.xlsx","企业客户-会议日程","0","0","4","0","0"
"","Room_Companycustomer2_onlineroom未解决入会.xlsx","获取在线的授权用户","0","0","1","0","0"
"","Terminal_Companycustomer.xlsx","终端发送命令接口","0","0","4","0","0"
"","Developer_Companycustomer.xlsx","开发者client列表","0","0","1","0","0"
"","Terminal_Companycustomer.xlsx","导出终端","0","0","1","0","0"
"","department_Companycustomer.xlsx","企业客户-客户信息","0","0","2","0","0"
"","user_Companycustomer.xlsx","企业客户-导出用户","0","0","3","0","0"
"","Room_Companycustomer.xlsx","会控信息查询","0","0","1","0","0"
"","Room_Companycustomer.xlsx","会议分享信息","0","0","1","0","0"
"","Terminal_Companycustomer.xlsx","获取终端列表","0","0","2","0","0"
"","Room_Companycustomer2_onlineroom未解决入会.xlsx","导出授权未入会用户","0","0","1","0","0"
"","Room_Companycustomer.xlsx","查询可用的会议服务","0","0","1","0","0"
"","Room_Companycustomer2_onlineroom未解决入会.xlsx","导出在线的授权用户","0","0","1","0","0"
"","department_Companycustomer.xlsx","企业客户-查询部门","0","0","1","0","0"
"","user_Companycustomer.xlsx","企业信息查询","0","0","1","0","0"
"","Terminal_Companycustomer.xlsx","PrepareSql","0","0","0","3","0"
"","zzboss_会议模板权限ice.xlsx","companyService","0","0","0","1","0"
"","Room_Trialcustomer.xlsx","个人客户-个人会议室查询","0","0","1","0","0"
"","Room_Companycustomer.xlsx","邀请码刷新","0","0","1","0","0"
"","user_Companycustomer.xlsx","修改企业信息-未实现","0","0","0","2","0"
"","Room_Companycustomer2_onlineroom未解决入会.xlsx","PrepareSql","0","0","0","3","0"
"","department_Companycustomer.xlsx","企业客户-删除部门","0","0","1","0","0"
"","Room_Companycustomer.xlsx","企业会议删除","0","0","1","0","0"
"","Terminal_Companycustomer.xlsx","获取终端信息","0","0","1","0","0"
